staffId,clockIn,clockOut,breakMinutes,totalMinutes,totalHours,verifiedBy
staff-1,2026-06-01T08:00:00Z,2026-06-01T17:00:00Z,60,480,8.00,staff-2
staff-2,2026-06-01T08:00:00Z,2026-06-01T17:00:00Z,60,480,8.00,staff-1
staff-3,2026-06-01T09:00:00Z,2026-06-01T18:00:00Z,60,480,8.00,staff-2
staff-1,2026-06-02T08:00:00Z,2026-06-02T17:00:00Z,60,480,8.00,staff-2
staff-2,2026-06-02T08:00:00Z,2026-06-02T17:00:00Z,60,480,8.00,staff-1
staff-3,2026-06-02T09:00:00Z,2026-06-02T18:00:00Z,60,480,8.00,staff-2
staff-1,2026-06-03T08:00:00Z,2026-06-03T17:00:00Z,60,480,8.00,staff-2
staff-2,2026-06-03T08:00:00Z,2026-06-03T17:00:00Z,60,480,8.00,staff-1
staff-3,2026-06-03T09:00:00Z,2026-06-03T18:00:00Z,60,480,8.00,staff-2
staff-1,2026-06-04T08:00:00Z,2026-06-04T17:00:00Z,60,480,8.00,staff-2
staff-2,2026-06-04T08:00:00Z,2026-06-04T17:00:00Z,60,480,8.00,staff-1
staff-3,2026-06-04T09:00:00Z,2026-06-04T18:00:00Z,60,480,8.00,staff-2
staff-1,2026-06-05T08:00:00Z,2026-06-05T17:00:00Z,60,480,8.00,staff-2
staff-2,2026-06-05T08:00:00Z,2026-06-05T17:00:00Z,60,480,8.00,staff-1
staff-3,2026-06-05T09:00:00Z,2026-06-05T18:00:00Z,60,480,8.00,staff-2
staff-1,2026-06-08T08:00:00Z,2026-06-08T17:00:00Z,60,480,8.00,staff-2
staff-2,2026-06-08T08:00:00Z,2026-06-08T17:00:00Z,60,480,8.00,staff-1
staff-3,2026-06-08T09:00:00Z,2026-06-08T18:00:00Z,60,480,8.00,staff-2
staff-1,2026-06-09T08:00:00Z,,0,0,,staff-2
staff-2,2026-06-09T08:00:00Z,,0,0,,staff-1
