orderNumber,status,source,type,totalAmount,paidAmount,taxAmount,paymentMethod,customerName,tableId,pax,notes,createdAt,outletId,customerId
ORD-2026-0001,PAID,POS,DINE_IN,45.50,45.50,2.73,CASH,John,1,2,Extra spicy,2026-06-01T12:30:00Z,outlet-hq,
ORD-2026-0002,PAID,POS,DINE_IN,32.00,32.00,1.92,CARD,Jane,2,4,,2026-06-01T13:15:00Z,outlet-hq,
ORD-2026-0003,PAID,POS,PICKUP,18.50,18.50,1.11,CASH,,,,,2026-06-01T14:00:00Z,outlet-hq,
ORD-2026-0004,PAID,QR_MENU,DELIVERY,67.00,67.00,4.02,EWALLET,Ali,,,Call before arrive,2026-06-01T19:30:00Z,outlet-hq,
ORD-2026-0005,PAID,POS,DINE_IN,89.50,89.50,5.37,CARD,Mei,3,6,Anniversary,2026-06-02T12:00:00Z,outlet-hq,
ORD-2026-0006,PAID,POS,DINE_IN,24.00,24.00,1.44,CASH,Raj,1,2,,2026-06-02T13:45:00Z,outlet-hq,
ORD-2026-0007,PAID,POS,PICKUP,56.00,56.00,3.36,CARD,,,,,2026-06-02T14:20:00Z,outlet-hq,
ORD-2026-0008,PAID,ONLINE,DELIVERY,112.00,112.00,6.72,EWALLET,Siti,,,No onions,2026-06-02T20:00:00Z,outlet-hq,
ORD-2026-0009,PAID,POS,DINE_IN,33.50,33.50,2.01,CASH,Ahmad,2,3,,2026-06-03T11:30:00Z,outlet-hq,
ORD-2026-0010,PAID,POS,DINE_IN,78.00,78.00,4.68,CARD,Lisa,4,5,Window seat,2026-06-03T12:45:00Z,outlet-hq,
ORD-2026-0011,PAID,QR_MENU,DINE_IN,45.00,45.00,2.70,EWALLET,Kumar,1,2,,2026-06-03T13:30:00Z,outlet-hq,
ORD-2026-0012,PAID,POS,PICKUP,22.50,22.50,1.35,CASH,,,,,2026-06-03T15:00:00Z,outlet-hq,
ORD-2026-0013,PAID,POS,DINE_IN,95.00,95.00,5.70,CARD,Tan,5,8,Big group,2026-06-04T12:15:00Z,outlet-hq,
ORD-2026-0014,PAID,POS,DINE_IN,28.00,28.00,1.68,CASH,Nina,2,2,,2026-06-04T13:00:00Z,outlet-hq,
ORD-2026-0015,PAID,PHONE,DELIVERY,55.50,55.50,3.33,EWALLET,Farid,,,Apartment 5B,2026-06-04T19:45:00Z,outlet-hq,
ORD-2026-0016,PAID,POS,DINE_IN,42.00,42.00,2.52,CARD,Sarah,3,4,,2026-06-05T11:45:00Z,outlet-hq,
ORD-2026-0017,PAID,POS,PICKUP,15.00,15.00,0.90,CASH,,,,,2026-06-05T14:30:00Z,outlet-hq,
ORD-2026-0018,PAID,QR_MENU,DINE_IN,63.50,63.50,3.81,EWALLET,Hassan,1,2,Extra sauce,2026-06-05T20:15:00Z,outlet-hq,
ORD-2026-0019,PAID,POS,DINE_IN,37.00,37.00,2.22,CARD,Emma,2,3,,2026-06-06T12:00:00Z,outlet-hq,
ORD-2026-0020,PAID,POS,DINE_IN,82.50,82.50,4.95,CARD,David,4,6,Birthday,2026-06-06T13:30:00Z,outlet-hq,
ORD-2026-0021,PAID,ONLINE,DELIVERY,29.00,29.00,1.74,EWALLET,Aisyah,,,,2026-06-06T18:30:00Z,outlet-hq,
ORD-2026-0022,PAID,POS,DINE_IN,51.00,51.00,3.06,CASH,Bob,3,4,,2026-06-07T12:45:00Z,outlet-hq,
ORD-2026-0023,PAID,POS,PICKUP,19.50,19.50,1.17,CASH,,,,,2026-06-07T14:00:00Z,outlet-hq,
ORD-2026-0024,PAID,QR_MENU,DINE_IN,74.00,74.00,4.44,EWALLET,Priya,2,5,,2026-06-07T19:00:00Z,outlet-hq,
ORD-2026-0025,PAID,POS,DINE_IN,38.50,38.50,2.31,CARD,Sam,1,2,,2026-06-08T11:30:00Z,outlet-hq,
ORD-2026-0026,PAID,POS,DINE_IN,66.00,66.00,3.96,CARD,Lily,3,5,Window seat,2026-06-08T13:15:00Z,outlet-hq,
ORD-2026-0027,PAID,PHONE,DELIVERY,43.00,43.00,2.58,EWALLET,Imran,,,Gate code 1234,2026-06-08T20:30:00Z,outlet-hq,
ORD-2026-0028,PAID,POS,DINE_IN,27.50,27.50,1.65,CASH,Zara,2,2,,2026-06-09T12:00:00Z,outlet-hq,
ORD-2026-0029,PAID,POS,PICKUP,58.00,58.00,3.48,CARD,,,,,2026-06-09T14:45:00Z,outlet-hq,
ORD-2026-0030,PAID,QR_MENU,DINE_IN,91.50,91.50,5.49,EWALLET,Adam,4,7,Family dinner,2026-06-09T19:15:00Z,outlet-hq,
