id,name,category,sellingPrice,costPrice,isActive
1,MARGHERITA,PIZZA,19.0,7.9846,True
2,VEGE,PIZZA,22.0,8.9767,True
3,BEEF PEPPERONI,PIZZA,24.0,9.2201,True
4,CHICKEN PEPPERONI,PIZZA,24.0,8.9441,True
5,HAWAIIAN CHICKEN,PIZZA,25.0,7.464,True
6,SPICY CHICKEN MUSHROOM,PIZZA,26.0,7.8812,True
7,PEPPERONI AND SALAMI,PIZZA,26.0,9.9456,True
8,FOUR CHEESE TOP,PIZZA,26.0,9.2556,True
9,BEB PIZZA,PIZZA,28.0,8.4671,True
10,BBQ CHICKEN PIZZA,PIZZA,28.0,9.0864,True
11,SPICY TUNA PIZZA,PIZZA,28.0,11.3046,True
12,BLACK PEPPER BEEF,PIZZA,30.0,13.1493,True
13,BLACK PEPPER LAMB,PIZZA,32.0,11.5893,True
14,TRIPLE CHICKEN PIZZA,PIZZA,28.0,8.3746,True
15,SEAFOOD PIZZA,PIZZA,37.0,20.1308,True
16,CHEESE BAKED PASTA,PASTA,14.9,5.2976,True
17,CHICKEN SPAGHETTI,PASTA,14.9,5.886,True
18,CHICKEN CARBONARA,PASTA,15.9,5.3637,True
19,CREAMY CHEESE SHRIMP,PIZZA,24.9,11.748,True
20,CREAMY CHEESE LOBSTER,PIZZA,34.9,15.723,True
21,BEEF AGLIO E OLIO,PASTA,14.9,4.581,True
22,SEAFOOD AGLIO E OLIO,PASTA,16.9,6.0995,True
23,LASAGNE,PASTA,14.9,6.5679,True
24,BEB MEAT BALL,PASTA,15.9,7.6881,True
25,POLLO FORMAGIO,PIZZA,18.9,9.5098,True
26,GRILL LAMB CHOP,GRILL,0.0,9.5578,False
27,GRILL BEEF STEAK,GRILL,0.0,1.9578,False
28,FRIES,SIDES,4.9,2.18,True
29,CHEESY FRIES,SIDES,9.9,5.58,True
30,STICKY FRIES,SIDES,12.9,6.4385,True
31,GARLIC BREAD,SIDES,3.5,1.1416,True
32,GARLIC BREAD WITH CHEDDAR,SIDES,9.9,3.2746,True
33,MUSHROOM SOUP,SOUP,4.9,1.5326,True
34,MUSHROOM SOUP WITH GARLIC BREAD,SOUP,6.9,2.6742,True
35,BEEF BRUCHETTA,SIDES,9.9,3.6284,True
36,SPICY CHICKEN WINGS,SIDES,9.9,3.4149,True
37,BBQ CHICKEN WINGS,SIDES,9.9,3.1481,True
38,CHICKEN POPCORN,SIDES,9.9,5.06,True
