orderNumber,name,quantity,unitPrice,totalPrice
ORD-2026-0001,MARGHERITA,2,19.00,38.00
ORD-2026-0001,FRIES,1,4.90,4.90
ORD-2026-0001,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0002,BEEF PEPPERONI,1,24.00,24.00
ORD-2026-0002,GARLIC BREAD,1,3.50,3.50
ORD-2026-0003,CHICKEN CARBONARA,1,15.90,15.90
ORD-2026-0003,FRIES,1,4.90,4.90
ORD-2026-0004,SEAFOOD PIZZA,2,37.00,74.00
ORD-2026-0004,CHEESE BAKED PASTA,1,14.90,14.90
ORD-2026-0004,MUSHROOM SOUP,2,4.90,9.80
ORD-2026-0005,BBQ CHICKEN PIZZA,3,28.00,84.00
ORD-2026-0005,FRIES,3,4.90,14.70
ORD-2026-0005,GARLIC BREAD WITH CHEDDAR,1,9.90,9.90
ORD-2026-0006,CHICKEN SPAGHETTI,2,14.90,29.80
ORD-2026-0006,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0007,BEEF AGLIO E OLIO,2,14.90,29.80
ORD-2026-0007,STICKY FRIES,1,12.90,12.90
ORD-2026-0007,GARLIC BREAD,1,3.50,3.50
ORD-2026-0008,BLACK PEPPER BEEF,2,30.00,60.00
ORD-2026-0008,SEAFOOD AGLIO E OLIO,1,16.90,16.90
ORD-2026-0008,CHEESY FRIES,2,9.90,19.80
ORD-2026-0008,MUSHROOM SOUP WITH GARLIC BREAD,1,6.90,6.90
ORD-2026-0009,MARGHERITA,1,19.00,19.00
ORD-2026-0009,FRIES,1,4.90,4.90
ORD-2026-0009,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0010,TRIPLE CHICKEN PIZZA,2,28.00,56.00
ORD-2026-0010,CHICKEN POPCORN,1,9.90,9.90
ORD-2026-0010,GARLIC BREAD,1,3.50,3.50
ORD-2026-0010,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0011,VEGE,2,22.00,44.00
ORD-2026-0011,FRIES,1,4.90,4.90
ORD-2026-0011,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0012,CHICKEN CARBONARA,1,15.90,15.90
ORD-2026-0012,GARLIC BREAD,1,3.50,3.50
ORD-2026-0012,FRIES,1,4.90,4.90
ORD-2026-0013,SEAFOOD PIZZA,3,37.00,111.00
ORD-2026-0013,BEEF BRUCHETTA,2,9.90,19.80
ORD-2026-0013,CHEESY FRIES,2,9.90,19.80
ORD-2026-0013,MUSHROOM SOUP,2,4.90,9.80
ORD-2026-0014,MARGHERITA,1,19.00,19.00
ORD-2026-0014,FRIES,1,4.90,4.90
ORD-2026-0014,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0015,CHICKEN SPAGHETTI,2,14.90,29.80
ORD-2026-0015,SPICY CHICKEN WINGS,1,9.90,9.90
ORD-2026-0015,GARLIC BREAD,1,3.50,3.50
ORD-2026-0016,BEEF PEPPERONI,1,24.00,24.00
ORD-2026-0016,FRIES,1,4.90,4.90
ORD-2026-0016,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0017,CHICKEN CARBONARA,1,15.90,15.90
ORD-2026-0017,GARLIC BREAD,1,3.50,3.50
ORD-2026-0018,BLACK PEPPER LAMB,1,32.00,32.00
ORD-2026-0018,SEAFOOD AGLIO E OLIO,1,16.90,16.90
ORD-2026-0018,CHEESY FRIES,1,9.90,9.90
ORD-2026-0019,CHICKEN SPAGHETTI,1,14.90,14.90
ORD-2026-0019,BBQ CHICKEN WINGS,1,9.90,9.90
ORD-2026-0019,FRIES,1,4.90,4.90
ORD-2026-0020,MARGHERITA,3,19.00,57.00
ORD-2026-0020,GARLIC BREAD WITH CHEDDAR,1,9.90,9.90
ORD-2026-0020,CHEESY FRIES,1,9.90,9.90
ORD-2026-0020,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0021,BEEF AGLIO E OLIO,1,14.90,14.90
ORD-2026-0021,SPICY CHICKEN WINGS,1,9.90,9.90
ORD-2026-0021,FRIES,1,4.90,4.90
ORD-2026-0022,BEEF PEPPERONI,1,24.00,24.00
ORD-2026-0022,FRIES,1,4.90,4.90
ORD-2026-0022,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0023,CHICKEN CARBONARA,1,15.90,15.90
ORD-2026-0023,GARLIC BREAD,1,3.50,3.50
ORD-2026-0024,SEAFOOD PIZZA,2,37.00,74.00
ORD-2026-0024,LASAGNE,1,14.90,14.90
ORD-2026-0024,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0025,MARGHERITA,1,19.00,19.00
ORD-2026-0025,FRIES,1,4.90,4.90
ORD-2026-0025,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0026,CHICKEN SPAGHETTI,2,14.90,29.80
ORD-2026-0026,BEEF BRUCHETTA,1,9.90,9.90
ORD-2026-0026,CHEESY FRIES,1,9.90,9.90
ORD-2026-0026,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0027,BBQ CHICKEN PIZZA,1,28.00,28.00
ORD-2026-0027,FRIES,1,4.90,4.90
ORD-2026-0027,GARLIC BREAD,1,3.50,3.50
ORD-2026-0028,CHICKEN SPAGHETTI,1,14.90,14.90
ORD-2026-0028,SPICY CHICKEN WINGS,1,9.90,9.90
ORD-2026-0028,FRIES,1,4.90,4.90
ORD-2026-0029,SEAFOOD PIZZA,1,37.00,37.00
ORD-2026-0029,SEAFOOD AGLIO E OLIO,1,16.90,16.90
ORD-2026-0029,MUSHROOM SOUP,1,4.90,4.90
ORD-2026-0030,MARGHERITA,3,19.00,57.00
ORD-2026-0030,GARLIC BREAD WITH CHEDDAR,1,9.90,9.90
ORD-2026-0030,CHEESY FRIES,1,9.90,9.90
ORD-2026-0030,MUSHROOM SOUP,1,4.90,4.90
