receiptNo,orderId,totalAmount,paidAmount,change,taxAmount,cashierId,posId,paymentMethod,createdAt
RCP-2026-0001,ORD-2026-0001,45.50,50.00,4.50,2.73,staff-1,POS-01,CASH,2026-06-01T12:35:00Z
RCP-2026-0002,ORD-2026-0002,32.00,32.00,0.00,1.92,staff-2,POS-01,CARD,2026-06-01T13:20:00Z
RCP-2026-0003,ORD-2026-0003,18.50,20.00,1.50,1.11,staff-1,POS-01,CASH,2026-06-01T14:05:00Z
RCP-2026-0004,ORD-2026-0004,67.00,67.00,0.00,4.02,staff-3,POS-02,EWALLET,2026-06-01T19:35:00Z
RCP-2026-0005,ORD-2026-0005,89.50,90.00,0.50,5.37,staff-2,POS-01,CARD,2026-06-02T12:05:00Z
RCP-2026-0006,ORD-2026-0006,24.00,24.00,0.00,1.44,staff-1,POS-01,CASH,2026-06-02T13:50:00Z
RCP-2026-0007,ORD-2026-0007,56.00,56.00,0.00,3.36,staff-2,POS-01,CARD,2026-06-02T14:25:00Z
RCP-2026-0008,ORD-2026-0008,112.00,112.00,0.00,6.72,staff-3,POS-02,EWALLET,2026-06-02T20:05:00Z
RCP-2026-0009,ORD-2026-0009,33.50,35.00,1.50,2.01,staff-1,POS-01,CASH,2026-06-03T11:35:00Z
RCP-2026-0010,ORD-2026-0010,78.00,78.00,0.00,4.68,staff-2,POS-01,CARD,2026-06-03T12:50:00Z
RCP-2026-0011,ORD-2026-0011,45.00,45.00,0.00,2.70,staff-3,POS-02,EWALLET,2026-06-03T13:35:00Z
RCP-2026-0012,ORD-2026-0012,22.50,25.00,2.50,1.35,staff-1,POS-01,CASH,2026-06-03T15:05:00Z
RCP-2026-0013,ORD-2026-0013,95.00,100.00,5.00,5.70,staff-2,POS-01,CARD,2026-06-04T12:20:00Z
RCP-2026-0014,ORD-2026-0014,28.00,30.00,2.00,1.68,staff-1,POS-01,CASH,2026-06-04T13:05:00Z
RCP-2026-0015,ORD-2026-0015,55.50,55.50,0.00,3.33,staff-3,POS-02,EWALLET,2026-06-04T19:50:00Z
RCP-2026-0016,ORD-2026-0016,42.00,42.00,0.00,2.52,staff-2,POS-01,CARD,2026-06-05T11:50:00Z
RCP-2026-0017,ORD-2026-0017,15.00,15.00,0.00,0.90,staff-1,POS-01,CASH,2026-06-05T14:35:00Z
RCP-2026-0018,ORD-2026-0018,63.50,65.00,1.50,3.81,staff-3,POS-02,EWALLET,2026-06-05T20:20:00Z
RCP-2026-0019,ORD-2026-0019,37.00,40.00,3.00,2.22,staff-1,POS-01,CASH,2026-06-06T12:05:00Z
RCP-2026-0020,ORD-2026-0020,82.50,82.50,0.00,4.95,staff-2,POS-01,CARD,2026-06-06T13:35:00Z
RCP-2026-0021,ORD-2026-0021,29.00,30.00,1.00,1.74,staff-3,POS-02,EWALLET,2026-06-06T18:35:00Z
RCP-2026-0022,ORD-2026-0022,51.00,55.00,4.00,3.06,staff-1,POS-01,CASH,2026-06-07T12:50:00Z
RCP-2026-0023,ORD-2026-0023,19.50,20.00,0.50,1.17,staff-1,POS-01,CASH,2026-06-07T14:05:00Z
RCP-2026-0024,ORD-2026-0024,74.00,74.00,0.00,4.44,staff-3,POS-02,EWALLET,2026-06-07T19:05:00Z
RCP-2026-0025,ORD-2026-0025,38.50,40.00,1.50,2.31,staff-1,POS-01,CASH,2026-06-08T11:35:00Z
RCP-2026-0026,ORD-2026-0026,66.00,66.00,0.00,3.96,staff-2,POS-01,CARD,2026-06-08T13:20:00Z
RCP-2026-0027,ORD-2026-0027,43.00,43.00,0.00,2.58,staff-3,POS-02,EWALLET,2026-06-08T20:35:00Z
RCP-2026-0028,ORD-2026-0028,27.50,30.00,2.50,1.65,staff-1,POS-01,CASH,2026-06-09T12:05:00Z
RCP-2026-0029,ORD-2026-0029,58.00,60.00,2.00,3.48,staff-2,POS-01,CARD,2026-06-09T14:50:00Z
RCP-2026-0030,ORD-2026-0030,91.50,95.00,3.50,5.49,staff-3,POS-02,EWALLET,2026-06-09T19:20:00Z
